BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
True,True,335988,True,4,True
True,True,335994,False,3,True
False,True,335998,False,2,True
True,True,336001,True,3,True
True,True,336006,False,3,False
True,True,336010,False,2,False
True,True,336012,True,2,False
False,True,336014,True,3,True
True,True,336018,False,3,True
True,True,336023,True,2,False
False,True,336030,False,1,True
False,True,336034,True,1,False
False,True,336038,True,3,False
False,True,336042,False,2,True
False,True,336044,False,2,True
True,False,336045,True,3,False
False,True,392186,False,2,False
True,True,392190,True,3,True
False,True,392194,True,3,False
True,True,392201,True,3,False
True,True,392207,False,4,True
True,True,392211,False,3,True
True,True,392214,True,3,True
True,True,392219,True,3,True
False,True,392222,False,2,True
True,True,392229,False,2,False
False,True,392232,False,2,True
True,True,392236,False,3,False
True,True,392239,True,2,True
True,False,392243,True,2,False
False,True,419115,True,3,False
True,True,419118,True,3,True
False,True,419121,False,3,True
False,True,419126,False,2,False
False,True,419128,False,2,False
True,True,419130,True,3,False
False,True,419134,True,3,False
False,True,419138,False,3,True
True,True,419142,True,4,True
True,False,419147,True,2,True
True,False,419152,False,2,False
False,True,419158,False,2,True
True,False,419160,False,2,False
False,True,419164,True,3,True
True,True,419168,True,2,True
True,True,419170,True,3,True
True,True,501203,True,2,True
True,True,501211,True,3,False
True,True,501216,True,3,True
True,True,501220,True,2,False
False,True,501226,False,2,False
True,False,501231,False,2,True
False,False,501233,False,2,True
True,True,501241,True,3,True
False,False,501245,False,2,True
True,False,501250,False,2,False
True,True,501254,False,3,True
True,True,501258,True,3,True
True,True,501266,True,2,True
True,True,501271,True,2,False
False,True,501273,True,3,True
True,True,501276,True,3,True
True,False,548311,True,1,False
True,True,548316,False,3,True
True,False,548321,True,2,False
False,True,548323,False,4,True
True,True,548327,False,2,False
True,True,548335,False,3,True
False,False,548337,False,2,True
False,True,548348,True,2,False
True,False,548352,False,2,False
True,False,548357,True,3,True
True,True,548360,True,3,False
False,True,548366,True,2,True
False,True,548369,True,2,True
False,True,548373,True,3,True
True,True,548376,True,2,False
True,True,548384,False,3,True
True,True,548385,False,4,True
True,True,548386,False,3,False
False,True,598007,True,2,False
False,True,598012,True,2,True
False,False,598017,True,3,True
False,False,598020,True,2,False
True,True,598025,True,3,True
False,True,598027,False,2,True
False,True,598031,False,3,True
False,True,598035,False,3,True
True,True,598039,False,3,True
True,True,598043,True,3,True
True,True,598046,True,3,True
False,False,598051,True,1,False
True,True,598056,False,4,True
True,False,598063,True,2,False
True,False,598067,True,3,True
False,True,598073,False,1,False
True,True,598075,True,3,True
False,True,598078,True,2,False
True,True,729288,False,3,False
True,True,729298,True,3,True
True,False,729302,False,2,True
False,True,729308,False,2,True
False,True,729316,False,2,True
True,True,733976,True,2,True
False,True,733986,True,3,True
False,True,733992,False,3,False
False,True,734000,True,2,True
False,False,734008,False,2,True
True,False,734018,False,2,False
True,True,734028,True,3,False
True,True,734034,True,3,False
False,True,734040,True,3,True
False,True,734050,True,3,True
False,True,734052,False,3,False
True,True,829712,False,2,True
True,True,829716,True,3,True
True,True,829728,True,2,False
False,True,829734,False,3,True
True,True,829740,False,2,False
True,True,829750,False,3,True
True,True,829758,True,3,True
True,True,829770,False,2,True
False,True,829778,False,3,False
True,True,829784,True,2,True
True,True,829794,False,3,False
True,True,829802,True,2,True
True,True,829806,False,2,False
False,True,829814,False,2,True
False,True,829822,True,3,False
False,False,829826,True,2,True
False,True,829828,False,3,False
