BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
True,True,335991,False,1,False
True,True,335993,False,2,False
True,True,335995,True,4,False
False,True,335999,True,2,True
True,True,336004,True,3,False
True,True,336007,False,3,False
False,True,336012,True,2,True
True,True,336016,True,2,False
False,True,336019,True,3,False
False,True,336025,False,3,False
False,True,336029,False,2,False
True,True,336036,True,3,False
False,True,336039,False,2,False
True,True,336042,False,2,False
False,True,392189,False,2,True
True,True,392193,True,3,True
True,True,392197,True,3,True
False,True,392201,True,3,True
True,True,392206,True,2,False
True,True,392210,False,2,False
False,True,392214,True,1,False
True,False,392217,True,2,True
True,True,392221,True,3,False
True,False,392225,True,3,True
False,True,392228,False,3,False
False,True,392233,True,3,True
False,True,392234,False,2,False
False,False,392241,True,2,False
False,True,392242,True,2,True
True,False,392244,False,2,True
False,False,419111,False,2,False
True,True,419115,True,3,True
True,True,419122,False,3,True
True,True,419125,True,3,True
True,False,419131,False,2,False
False,True,419135,False,2,False
False,True,419140,True,2,False
False,False,419143,True,2,False
False,True,419146,True,2,False
False,True,419150,True,3,True
False,True,419152,False,2,True
True,True,419156,False,2,True
False,True,419161,True,3,True
True,True,419165,True,2,True
False,False,419168,True,1,False
True,True,419169,False,1,False
True,True,501204,True,2,False
False,True,501208,True,2,False
True,True,501213,False,3,True
True,True,501217,True,3,False
True,True,501221,True,3,True
False,True,501229,False,2,False
True,False,501234,False,2,True
False,False,501241,True,2,False
False,False,501244,False,2,False
True,True,501248,True,3,False
True,False,501255,False,2,False
True,False,501261,True,2,True
False,False,501264,True,2,True
True,True,501269,False,3,True
False,True,548316,False,2,False
True,True,548319,False,2,False
True,True,548326,False,3,False
True,True,548331,False,3,False
True,True,548334,False,3,False
True,False,548340,True,2,False
True,True,548346,True,3,True
True,False,548351,True,1,False
True,True,548353,True,3,True
False,True,548357,True,2,False
True,True,548361,True,3,False
False,False,548364,False,2,False
True,True,548371,False,3,False
False,False,548378,False,2,True
True,False,548381,False,2,True
