BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
False,True,335989,False,2,True
False,True,335993,False,2,True
True,True,336000,False,2,False
True,True,336003,False,3,True
False,True,336006,False,3,True
False,True,336009,False,2,False
True,True,336014,True,3,False
True,False,336020,True,2,False
False,True,336022,True,2,False
True,True,336025,False,3,True
True,True,336027,False,2,False
False,True,336031,True,2,True
False,True,336037,True,3,True
False,True,336043,False,1,False
False,True,392188,True,1,True
True,True,392194,True,3,True
False,False,392199,False,2,True
True,True,392203,False,2,False
False,True,392206,True,2,True
False,True,392211,False,2,False
False,True,392216,False,2,True
False,False,392220,False,2,True
False,True,392224,True,2,True
True,True,392228,False,3,True
True,False,392231,True,2,False
True,False,392235,True,2,True
True,False,392237,False,2,False
False,True,392240,True,3,True
True,True,392242,True,2,False
False,True,419113,True,2,True
False,True,419116,True,2,True
False,False,419119,False,1,False
True,True,419121,False,3,False
False,True,419125,True,3,False
True,True,419133,False,3,True
True,True,419136,True,3,True
True,True,419139,True,3,True
True,True,419145,True,3,True
False,True,419149,True,3,False
True,False,419154,False,1,False
False,False,419157,True,2,False
False,False,419160,False,1,True
False,False,419165,True,2,False
True,True,501206,False,1,False
True,True,501209,False,2,False
False,True,501218,True,3,True
False,True,501221,True,2,False
True,True,501228,False,4,True
True,True,501232,True,2,False
False,True,501235,False,2,False
True,True,501238,True,2,True
True,True,501243,True,2,False
False,True,501248,True,3,True
False,True,501251,False,2,False
False,True,501258,True,2,False
False,True,501262,False,2,False
True,False,501270,False,1,False
False,True,548312,True,1,True
False,False,548315,False,2,False
False,True,548321,True,2,True
False,True,548326,False,3,True
False,False,548330,True,1,True
False,True,548334,False,3,True
False,True,548338,False,3,False
False,True,548342,False,2,True
True,True,548347,False,3,True
True,True,548350,True,2,True
False,True,548354,False,2,True
True,True,548362,False,2,False
True,False,548369,True,2,False
False,True,548374,False,2,True
False,True,548377,False,3,False
False,True,548379,True,2,True
False,True,548383,True,2,False
False,True,548385,False,2,False
True,True,598003,True,2,False
False,False,598006,True,2,False
False,True,598011,True,3,False
True,False,598015,False,2,False
True,True,598022,True,3,False
False,False,598025,True,1,False
False,True,598029,False,3,True
False,True,598033,False,3,False
True,True,598040,False,2,True
False,True,598045,False,2,True
True,False,598049,False,1,False
True,True,598054,False,2,False
False,True,598059,False,3,False
True,False,598064,True,2,False
False,False,598067,True,2,False
False,True,598072,True,2,False
True,False,729286,True,2,False
False,True,729294,False,3,True
False,False,729298,True,1,False
False,True,729306,True,3,False
False,False,729314,False,2,True
True,True,733980,True,2,False
True,True,733986,True,3,False
True,True,733990,False,3,False
True,True,733998,True,2,False
False,True,734010,False,3,False
False,True,734016,False,2,False
True,True,734024,True,3,False
False,True,734036,False,3,False
True,True,734044,True,2,False
False,False,829712,False,2,False
True,True,829720,True,3,False
False,True,829730,False,3,True
True,True,829736,True,3,True
True,True,829744,True,2,False
True,True,829752,False,3,True
True,False,829762,True,1,False
False,True,829766,True,3,False
False,True,829772,True,2,True
False,True,829782,False,3,False
True,True,829788,False,2,False
False,True,829798,True,3,False
False,True,829806,False,2,True
True,True,829818,False,3,False
True,True,980908,True,1,False
False,True,980918,True,2,True
False,True,980926,True,3,True
True,True,980938,False,3,True
False,True,980950,False,3,False
True,True,980956,False,3,True
False,True,980966,True,2,True
True,True,980970,True,3,False
False,True,980976,False,3,False
False,True,980988,True,2,True
False,True,980998,False,2,False
True,False,981002,True,2,False
False,True,981008,True,2,True
True,False,981016,True,2,False
