BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
False,True,980910,True,3,True
False,True,980916,False,2,True
False,True,980922,True,2,True
True,False,980934,True,2,False
False,True,980942,False,3,True
True,True,980950,False,3,True
False,True,980954,True,3,True
False,False,980960,False,2,False
True,False,980966,True,2,False
True,False,980972,True,2,False
False,True,980980,True,3,True
False,True,980992,False,1,False
False,True,981006,True,2,True
False,True,981012,True,3,True
True,True,981018,True,2,False
True,True,981022,True,3,False
