BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
False,True,335988,True,3,False
True,True,335992,False,3,False
True,True,335996,False,3,True
False,True,336000,False,3,True
False,True,336004,True,3,True
True,True,336008,True,3,True
False,True,336011,True,2,True
False,True,336018,False,3,False
False,True,336021,False,2,True
True,True,336024,False,4,True
False,True,336027,False,1,True
True,True,336033,False,3,True
False,True,336036,True,3,True
True,True,336040,False,3,False
True,True,336044,False,2,False
True,True,392188,True,1,False
True,True,392191,True,2,False
False,True,392196,False,3,True
True,True,392200,True,2,True
True,False,392205,True,2,True
False,True,392209,True,2,False
False,True,392212,False,2,True
False,True,392215,False,2,False
False,True,392219,True,3,False
False,True,392221,True,3,True
True,True,392227,False,2,False
False,True,392231,True,2,True
True,False,392234,False,2,True
False,False,392239,True,1,False
True,True,419113,True,2,False
True,True,419117,False,3,False
False,True,419122,False,3,False
True,True,419126,False,2,True
False,True,419129,False,2,False
False,True,419132,True,2,False
True,False,419137,True,2,False
True,True,419141,False,3,False
False,True,419144,False,3,True
True,True,419148,False,2,False
False,True,419151,False,3,True
False,True,419154,False,2,True
True,True,419161,True,3,False
True,True,419164,True,3,False
True,True,501207,False,2,False
False,True,501211,True,3,True
False,True,501217,True,3,True
True,True,501225,False,3,True
False,True,501228,False,3,False
True,False,501239,True,2,False
False,False,501242,False,2,False
False,False,501249,False,2,False
True,False,501253,False,2,False
True,True,501256,False,2,True
False,True,501259,True,3,True
True,True,501262,False,3,True
True,True,501265,True,4,True
False,True,501269,False,2,False
False,True,548314,False,3,False
False,True,548318,True,2,False
False,True,548324,True,2,True
True,False,548328,False,2,True
True,False,548333,False,2,False
True,False,548336,True,3,False
False,True,548339,False,3,True
True,True,548344,False,3,False
True,True,548348,True,3,True
False,True,548355,True,3,True
False,True,548359,True,2,False
True,True,548364,False,3,True
False,True,548371,False,3,True
True,True,548374,False,2,False
False,True,548376,True,2,True
True,True,548379,True,2,False
False,True,598008,False,1,True
True,True,598012,True,2,False
True,True,598019,True,2,False
True,True,598021,False,3,True
True,True,598026,False,2,False
False,True,598030,True,3,True
True,True,598033,False,3,True
True,True,598036,False,2,False
False,True,598042,True,3,False
False,True,598046,True,3,False
False,True,598050,True,3,True
True,False,598057,True,2,False
False,True,598061,False,2,False
False,True,598064,True,2,True
False,True,598069,True,3,True
True,True,598071,False,3,True
False,True,729288,False,3,True
False,True,729296,True,3,True
True,True,729300,False,3,True
True,False,729312,False,2,True
False,False,729318,True,2,True
True,True,733978,False,3,False
True,True,733992,False,4,True
True,True,733996,False,3,True
True,True,734002,True,2,False
False,True,734012,True,4,True
False,True,734024,True,2,True
True,True,734030,True,2,False
True,True,734038,False,3,True
False,True,734044,True,2,True
False,True,734048,False,2,False
True,True,734052,False,4,True
True,True,734054,True,3,False
False,True,829714,False,2,False
True,True,829722,False,3,True
True,True,829730,False,3,False
True,True,829738,True,2,False
False,True,829746,True,3,True
False,False,829758,True,1,False
False,False,829764,False,2,False
True,False,829772,True,2,False
False,False,829780,True,2,False
False,True,829790,False,1,False
True,True,829796,False,3,False
False,True,829804,True,3,False
True,True,829808,False,2,True
True,True,829814,False,2,False
True,True,980910,True,3,False
True,True,980918,True,2,False
False,True,980924,False,3,True
True,False,980930,True,2,False
True,True,980940,True,2,False
False,False,980946,False,3,False
True,False,980960,False,2,True
False,True,980968,False,2,False
True,True,980976,False,3,True
False,True,980982,False,3,False
False,True,980990,False,2,True
True,True,980996,False,3,False
False,True,981004,False,2,False
True,True,981010,False,3,False
