BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
True,True,501205,False,2,False
True,True,501212,False,2,False
False,True,501215,True,3,True
False,True,501220,True,2,True
True,True,501224,False,2,True
True,False,501230,True,1,False
False,True,501234,False,1,False
False,False,501238,True,2,False
False,True,501243,True,2,True
True,True,501247,False,2,True
True,False,501252,False,2,False
True,True,501259,True,3,False
False,True,501263,True,1,True
False,False,501266,True,2,False
