BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
True,True,335987,False,4,True
False,True,335991,False,1,True
True,True,335998,False,2,False
True,True,336002,False,2,False
False,False,336005,True,2,False
False,True,336008,True,3,False
True,True,336015,True,2,True
True,True,336019,True,3,True
True,False,336022,True,2,True
True,True,336026,True,1,False
True,True,336030,False,2,False
True,True,336032,True,2,False
False,True,336040,False,3,True
True,True,392189,False,1,False
False,True,392191,True,1,True
False,True,392195,False,2,False
False,False,392202,True,1,False
True,False,392204,False,2,False
False,False,392208,True,2,False
True,True,392212,False,2,False
True,True,392216,False,2,False
True,False,392224,True,2,False
True,True,392226,True,3,False
True,True,392233,True,3,False
False,True,392236,False,3,True
False,False,392238,True,1,True
True,True,419111,False,2,True
False,True,419114,True,2,True
False,True,419118,True,2,False
False,False,419123,True,2,False
True,True,419127,False,2,False
True,True,419132,True,3,True
False,False,419136,True,2,False
True,True,419140,True,3,True
True,True,419144,False,3,False
True,True,419149,True,3,True
True,True,419153,True,2,False
True,True,419158,False,2,False
False,True,419163,False,2,True
False,True,419166,False,2,True
False,True,501203,True,2,False
True,True,501208,True,3,True
False,True,501214,True,3,True
False,False,501219,True,1,True
False,False,501224,False,2,False
True,True,501227,True,3,False
True,True,501235,False,2,True
False,True,501239,True,2,True
True,True,501244,False,3,True
False,True,501247,False,2,False
False,False,501250,False,1,True
True,True,501260,True,1,False
False,True,501267,True,2,True
True,True,501272,True,3,False
True,True,501274,True,2,False
True,True,548312,True,1,False
False,True,548317,False,2,False
True,True,548320,False,3,True
False,False,548325,False,2,True
False,False,548328,False,2,False
False,True,548333,False,2,True
False,False,548340,True,2,True
True,True,548349,True,3,True
False,False,548352,False,2,True
True,False,548358,True,2,True
False,False,548362,False,2,True
False,True,548368,True,3,False
True,True,548373,True,3,False
True,True,548375,False,2,True
True,False,548380,True,2,True
True,True,548383,True,3,True
False,True,548386,False,3,True
False,True,598003,True,2,True
False,False,598010,False,2,False
True,True,598013,True,2,False
True,True,598018,True,3,True
False,True,598021,False,2,False
True,True,598027,False,2,False
True,True,598034,False,3,False
False,True,598036,False,2,True
False,True,598039,False,3,False
True,True,598045,False,2,False
False,True,598048,False,2,True
False,True,598055,True,1,False
True,True,598058,True,2,True
False,True,598062,True,2,True
False,True,598066,False,2,False
True,False,598074,False,2,False
True,True,729284,True,3,True
True,False,729294,False,3,False
True,False,729304,False,2,True
False,False,729312,False,1,False
False,False,729320,True,3,False
False,True,733976,True,2,False
False,True,733984,False,2,False
False,False,733990,False,2,True
False,True,734002,True,2,True
False,True,734014,True,2,True
False,True,734020,False,2,True
False,True,734028,True,3,True
True,True,734032,False,3,True
False,True,734042,True,3,True
True,True,734048,False,3,True
False,True,734054,True,3,True
False,True,829710,True,3,True
True,True,829718,True,3,False
False,True,829728,True,3,True
False,True,829738,True,3,True
False,True,829744,True,2,True
False,True,829748,False,1,False
True,True,829766,True,3,True
False,True,829770,False,2,False
True,True,829776,True,2,False
True,True,829786,False,3,True
False,True,829796,False,3,True
False,True,829810,False,3,False
False,True,829816,True,3,False
False,True,980908,True,1,True
True,True,980914,True,3,False
False,True,980920,False,2,True
False,True,980930,True,2,True
False,True,980944,True,3,True
True,False,980952,True,3,False
False,True,980956,False,2,False
False,True,980964,True,3,True
True,True,980968,False,3,True
True,True,980980,True,3,False
False,True,980994,False,1,True
True,True,981000,True,3,False
True,True,981006,True,2,False
True,False,981014,False,3,True
False,False,981020,False,2,False
