BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
True,True,335990,False,3,False
False,True,335994,False,3,False
False,True,335996,False,2,False
True,True,335999,True,2,False
False,True,336002,False,2,True
True,True,336009,False,3,True
False,False,336013,True,1,True
False,True,336017,True,2,True
False,True,336023,True,2,True
False,True,336026,True,1,True
True,True,336029,False,3,True
False,True,336033,False,3,False
True,True,336037,True,3,False
True,False,336041,True,2,False
True,True,392186,False,3,True
False,True,392197,True,2,False
True,True,392202,True,4,True
False,False,392205,True,2,False
True,True,392208,True,2,True
True,False,392213,False,2,False
False,True,392217,True,2,False
True,False,392220,False,2,False
True,False,392223,True,2,True
False,True,392227,False,2,True
False,False,392230,True,2,False
True,True,392232,False,2,False
True,True,392240,True,2,False
True,True,419112,True,3,True
True,True,419119,False,4,True
True,True,419124,False,2,False
False,True,419127,False,3,True
False,True,419130,True,3,True
True,True,419135,False,3,True
False,True,419137,True,2,True
True,True,419143,True,3,True
False,False,419147,True,2,False
True,False,419151,False,2,False
True,True,419155,False,3,True
True,True,419157,True,3,True
True,True,419162,False,3,True
True,False,419166,False,2,False
True,True,419167,True,3,True
False,True,419170,True,2,False
False,False,501206,False,1,True
False,True,501210,True,2,True
True,True,501215,True,3,False
False,False,501223,False,2,True
True,True,501226,False,2,True
True,True,501229,False,3,True
True,False,501236,True,1,False
True,True,501242,False,3,True
True,True,501246,False,2,True
True,True,501251,False,3,True
False,True,501256,False,1,False
False,True,501261,True,2,False
True,False,501268,False,2,False
False,True,501272,True,3,True
False,True,501274,True,2,True
False,True,501275,False,2,False
False,True,548311,True,2,True
False,False,548313,False,1,False
False,True,548319,False,2,True
True,True,548322,False,3,True
True,True,548330,True,1,False
True,True,548339,False,3,False
False,True,548344,False,3,True
False,True,548347,False,3,False
False,False,548351,True,1,True
True,False,548356,True,2,True
False,True,548360,True,3,True
True,False,548365,True,2,False
True,True,548368,True,3,True
False,True,548372,True,3,True
False,True,548375,False,2,False
False,True,548382,False,2,True
False,True,548384,False,2,False
False,True,598004,False,2,False
True,True,598007,True,2,True
True,True,598011,True,3,True
True,True,598016,True,3,True
False,False,598024,True,1,False
True,True,598029,False,3,False
False,True,598034,False,3,True
True,True,598038,True,3,True
True,True,598042,True,3,True
True,False,598044,False,2,False
True,True,598051,True,2,True
True,True,598055,True,3,True
False,True,598060,False,2,True
False,True,598065,False,3,True
True,True,598068,False,3,True
False,True,598071,False,2,False
False,True,598075,True,2,False
False,True,598077,False,3,True
True,True,598078,True,2,True
False,False,729284,True,2,False
True,False,729292,True,2,False
True,True,729308,False,2,False
True,True,729314,False,2,False
False,True,729322,False,2,False
False,True,733978,False,3,True
True,True,733988,False,3,True
True,True,734000,True,3,False
False,True,734006,False,3,True
True,True,734014,True,2,False
True,True,734022,True,3,True
False,True,734030,True,2,True
True,True,734036,False,3,True
False,True,734046,True,3,True
True,True,734050,True,3,False
True,True,829710,True,3,False
False,True,829722,False,3,False
True,True,829726,False,3,False
True,True,829734,False,3,False
True,True,829742,False,3,True
False,True,829752,False,2,False
True,True,829756,True,2,True
True,True,829774,False,3,True
True,True,829780,True,3,True
False,True,829788,False,2,True
False,True,829794,False,3,True
False,True,829800,True,3,False
True,True,829810,False,3,True
False,True,829820,False,2,True
True,True,829822,True,3,True
True,True,829828,False,3,True
True,True,980906,False,2,False
False,True,980914,True,3,True
True,True,980922,True,2,False
True,False,980928,True,2,False
False,True,980932,True,3,True
False,True,980938,False,3,False
True,True,980946,False,3,True
False,True,980952,True,3,True
False,True,980962,True,3,True
False,True,980978,False,1,False
False,True,980986,True,2,True
True,True,980990,False,2,False
True,True,980998,False,3,True
True,True,981012,True,3,False
