BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
False,True,501207,False,2,True
False,True,501212,False,2,True
True,True,501218,True,3,False
True,True,501223,False,2,False
False,False,501231,False,2,False
True,True,501233,False,2,False
False,True,501237,False,2,False
True,True,501240,True,2,False
False,True,501246,False,2,False
False,True,501253,False,2,True
False,True,501255,False,2,True
True,True,501264,True,2,False
True,False,501267,True,2,False
False,False,501270,False,1,False
True,False,548313,False,2,True
True,True,548318,True,3,True
True,True,548324,True,2,False
False,True,548327,False,3,True
True,True,548332,False,3,False
False,False,548335,False,2,False
True,True,548338,False,3,True
True,False,548342,False,2,False
False,True,548346,True,2,False
False,True,548353,True,3,False
False,False,548356,True,2,False
False,True,548358,True,2,False
True,False,548363,False,2,False
False,True,548367,False,2,False
False,False,548370,True,2,False
False,False,548380,True,1,False
False,False,598005,False,2,False
True,False,598008,False,1,False
False,True,598014,False,2,True
False,True,598016,True,2,False
True,True,598020,True,3,True
False,False,598023,False,2,False
True,True,598030,True,3,False
False,True,598032,False,2,False
False,True,598040,False,2,False
False,False,598043,True,2,False
False,True,598047,True,3,False
True,True,598052,False,3,False
False,False,598058,True,2,False
True,False,598060,False,2,False
True,True,598066,False,3,True
True,True,598072,True,3,True
