BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
True,True,335989,False,2,False
False,True,335992,False,3,True
False,True,335995,True,4,True
False,True,335997,True,2,True
True,True,336005,True,3,True
False,True,336010,False,1,True
True,False,336013,True,1,False
False,True,336016,True,2,True
False,True,336020,True,2,True
False,True,336024,False,3,False
True,True,336028,False,3,True
False,True,336032,True,2,True
True,True,336038,True,4,True
False,False,336041,True,2,True
True,True,336043,False,3,True
False,True,336045,True,2,True
False,False,392187,True,1,False
True,True,392195,False,3,True
False,False,392200,True,2,False
False,True,392203,False,2,True
False,False,392207,False,1,False
False,True,392210,False,2,True
True,True,392215,False,4,True
False,True,392218,True,2,True
True,True,392222,False,2,False
False,False,392225,True,2,False
True,True,392230,True,2,True
False,False,392235,True,2,False
True,False,392238,True,1,False
False,True,419112,True,4,False
True,True,419116,True,2,False
True,False,419120,True,1,False
True,True,419123,True,3,True
True,True,419129,False,3,True
False,True,419131,False,2,True
True,True,419134,True,3,True
False,True,419139,True,2,False
False,True,419142,True,4,False
True,True,419146,True,2,True
False,True,419148,False,2,True
False,False,419155,False,2,False
True,True,419159,False,2,False
True,True,419163,False,2,False
False,True,501204,True,2,True
False,True,501209,False,2,True
True,False,501214,True,2,False
True,False,501219,True,1,False
False,True,501225,False,2,False
False,True,501230,True,2,True
False,False,501236,True,1,True
False,True,501240,True,2,True
True,True,501245,False,2,False
False,False,501254,False,2,False
True,False,501257,True,2,False
True,True,501263,True,1,False
False,True,501268,False,2,True
True,True,548314,False,3,True
True,True,548317,False,3,True
False,True,548322,False,3,False
True,True,548325,False,2,False
True,True,548329,True,3,True
False,True,548331,False,3,True
True,True,548337,False,2,False
False,False,548341,False,2,False
False,True,548350,True,2,False
True,True,548354,False,2,False
True,True,548359,True,3,True
False,True,548363,False,2,True
True,True,548366,True,2,False
True,True,548370,True,3,True
True,False,548378,False,2,False
True,True,548382,False,2,False
True,True,598006,True,3,True
True,True,598010,False,2,True
True,True,598014,False,2,False
False,True,598019,True,2,True
True,True,598024,True,3,True
True,True,598028,True,2,False
True,True,598031,False,3,False
False,True,598037,False,2,True
False,True,598041,True,3,True
True,False,598048,False,2,False
False,True,598052,False,3,True
False,False,598054,False,2,True
False,True,598057,True,2,True
False,True,598063,True,2,True
False,True,598068,False,2,False
False,False,598070,True,2,False
False,True,598076,False,2,True
True,True,598077,False,3,False
False,False,729290,True,2,True
True,True,729296,True,3,False
False,False,729302,False,2,False
False,True,729310,True,1,True
True,False,729320,True,3,True
False,True,733980,True,3,True
True,True,733984,False,3,True
False,False,733994,False,1,False
False,True,734004,False,3,True
True,True,734008,False,2,False
True,True,734016,False,3,True
False,True,734022,True,2,False
False,True,734038,False,3,False
True,True,734046,True,3,False
True,True,829714,False,2,True
False,True,829720,True,3,True
False,False,829726,False,3,True
False,False,829732,True,2,True
False,True,829740,False,3,True
True,True,829746,True,3,False
True,False,829754,True,2,False
False,False,829768,False,1,False
False,True,829774,False,3,False
True,True,829782,False,3,True
False,True,829792,False,3,False
False,False,829802,True,2,False
True,True,829816,True,3,True
False,False,829824,True,2,False
