BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
False,True,980906,False,2,True
True,True,980916,False,3,False
True,True,980924,False,2,False
False,True,980936,False,3,False
True,False,980944,True,3,False
False,True,980948,True,1,True
True,True,980954,True,3,False
True,True,980962,True,3,False
False,True,980970,True,3,True
True,True,980974,True,3,False
False,False,980984,True,2,False
True,False,980994,False,1,False
False,True,981002,True,1,True
False,True,981010,False,3,True
