BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
True,False,598005,False,2,True
False,False,598009,False,2,True
False,True,598015,False,2,True
False,False,598018,True,2,False
True,False,598023,False,2,True
False,False,598026,False,2,True
True,True,598035,False,3,False
True,True,598037,False,2,False
False,True,598044,False,2,True
False,False,598049,False,1,True
True,True,598053,False,3,False
False,True,598056,False,2,False
True,True,598061,False,2,True
True,True,598065,False,3,False
True,False,598070,True,2,True
False,True,598074,False,2,True
True,True,598076,False,2,False
True,False,729290,True,2,False
False,False,729300,False,2,False
True,True,729306,True,3,True
True,False,729316,False,2,False
True,False,729322,False,3,True
True,True,733982,True,2,False
True,False,733994,False,2,True
False,True,733998,True,1,True
True,True,734006,False,3,False
True,True,734012,True,3,False
True,True,734020,False,2,False
False,True,734026,False,3,True
False,True,734034,True,3,True
True,True,734042,True,2,False
False,False,829716,True,3,False
False,True,829724,True,3,True
True,True,829732,True,2,False
False,True,829736,True,3,False
True,True,829748,False,3,True
False,True,829756,True,2,False
True,True,829764,False,2,True
True,True,829778,False,3,True
False,True,829786,False,2,False
True,True,829792,False,3,True
True,False,829798,True,3,True
True,True,829804,True,3,True
True,True,829812,False,2,False
True,False,829820,False,2,False
False,True,980912,False,3,False
True,False,980920,False,2,False
False,True,980928,True,2,True
False,False,980934,True,2,True
False,True,980940,True,2,True
True,False,980948,True,2,False
True,True,980958,False,3,True
False,True,980972,True,2,True
True,True,980978,False,3,True
True,True,980984,True,2,True
True,True,980988,True,2,False
False,True,980996,False,3,True
True,True,981008,True,3,False
False,True,981014,False,2,False
True,True,981020,False,3,True
False,True,981022,True,3,True
True,True,981024,True,3,True
