BattingFirst,BoundariesMajority,Match_ID,Wontoss,scorerange,wonmatch
True,True,501205,False,b,False
True,True,501212,False,b,False
False,True,501215,True,c,True
False,True,501220,True,b,True
True,True,501224,False,b,True
True,False,501230,True,a,False
False,True,501234,False,a,False
False,False,501238,True,b,False
False,True,501243,True,b,True
True,True,501247,False,b,True
True,False,501252,False,b,False
True,True,501259,True,c,False
False,True,501263,True,a,True
False,False,501266,True,b,False
